PC=0000000000000000, T_valid=1, T=32, Told=26, rega=26, regb=31
PC=0000000000000004, T_valid=1, T=33, Told=20, rega=31, regb= 0
PC=0000000000000008, T_valid=0, T=31, Told=31, rega= 1, regb= 0
PC=000000000000000c, T_valid=0, T=31, Told=31, rega= 2, regb= 0
PC=0000000000000010, T_valid=0, T=31, Told=31, rega= 3, regb= 0
PC=0000000000000014, T_valid=0, T=31, Told=31, rega= 4, regb= 0
PC=0000000000000018, T_valid=0, T=31, Told=31, rega= 5, regb= 0
PC=000000000000001c, T_valid=1, T=34, Told=32, rega=32, regb=31
PC=0000000000000020, T_valid=1, T=35, Told=21, rega=31, regb= 0
PC=0000000000000024, T_valid=0, T=31, Told=31, rega= 1, regb= 0
PC=0000000000000174, T_valid=1, T=33, Told= 0, rega= 0, regb=31
PC=0000000000000190, T_valid=0, T=31, Told=31, rega=31, regb=31
PC=0000000000000118, T_valid=1, T=34, Told= 2, rega= 2, regb=31
PC=000000000000011c, T_valid=1, T=35, Told=33, rega=31, regb=31
PC=0000000000000120, T_valid=0, T=31, Told=31, rega=31, regb=32
PC=0000000000000130, T_valid=1, T=35, Told= 3, rega= 3, regb=31
PC=0000000000000134, T_valid=1, T=36, Told= 1, rega= 1, regb= 1
PC=0000000000000138, T_valid=0, T=31, Told=31, rega=31, regb=32
PC=0000000000000034, T_valid=1, T=37, Told=14, rega=31, regb=33
PC=0000000000000038, T_valid=1, T=38, Told=15, rega=15, regb=31
PC=000000000000003c, T_valid=1, T=39, Told=34, rega=34, regb=38
PC=0000000000000040, T_valid=0, T=31, Told=31, rega=39, regb=31
PC=0000000000000044, T_valid=1, T=40, Told=38, rega=38, regb=31
PC=0000000000000124, T_valid=1, T=36, Told= 4, rega= 4, regb=31
PC=0000000000000128, T_valid=1, T=37, Told=33, rega=33, regb= 1
PC=000000000000012c, T_valid=0, T=31, Told=31, rega=31, regb=32
PC=0000000000000130, T_valid=1, T=38, Told=35, rega=35, regb=31
PC=000000000000013c, T_valid=1, T=37, Told= 5, rega= 5, regb=31
PC=0000000000000140, T_valid=0, T=31, Told=31, rega=34, regb= 1
PC=0000000000000144, T_valid=0, T=31, Told=31, rega=31, regb=32
PC=0000000000000148, T_valid=1, T=38, Told= 1, rega=31, regb=32
PC=0000000000000004, T_valid=1, T=39, Told=20, rega=31, regb=33
PC=0000000000000008, T_valid=0, T=31, Told=31, rega=38, regb=33
